1,2024-01-10,Instalaciones limpias y ordenadas,12345678A
2,2024-01-15,El wifi no funcionaba correctamente,87654321B
3,2024-01-20,El personal fue muy amable,11223344C
4,2024-01-25,La piscina estaba en perfecto estado,55667788D
5,2024-01-30,El bungalow estaba un poco anticuado,99887766E
6,2024-02-05,El entorno natural es precioso,22334455F
7,2024-02-10,El servicio de limpieza fue eficiente,66778899G
8,2024-02-15,La relación calidad-precio es buena,33445566H
9,2024-02-20,Hubo mucho ruido por la noche,77889900I
10,2024-02-25,Volveremos seguro,44556677J
