1,FAC-001,2024-01-10,450.00,45.00,495.00,12345678A,1,1
2,FAC-002,2024-01-15,520.00,52.00,572.00,87654321B,2,2
3,FAC-003,2024-01-20,480.00,48.00,528.00,11223344C,3,1
4,FAC-004,2024-01-25,550.00,55.00,605.00,55667788D,4,2
5,FAC-005,2024-01-30,420.00,42.00,462.00,99887766E,5,1
6,FAC-006,2024-02-05,490.00,49.00,539.00,22334455F,6,3
7,FAC-007,2024-02-10,460.00,46.00,506.00,66778899G,7,2
8,FAC-008,2024-02-15,530.00,53.00,583.00,33445566H,8,3
9,FAC-009,2024-02-20,440.00,44.00,484.00,77889900I,9,1
10,FAC-010,2024-02-25,510.00,51.00,561.00,44556677J,10,2
