codiban, dni, codpais, dc, entidad, csucursal, cdccta, cnumcuenta
1,12345678A,ES,25,2000,1234,5678,12345678901234
2,87654321B,ES,25,2000,1234,5678,23456789012345
3,11223344C,ES,25,2000,1234,5678,34567890123456
4,55667788D,ES,25,2000,1234,5678,45678901234567
5,99887766E,ES,25,2000,1234,5678,56789012345678
6,22334455F,ES,25,2000,1234,5678,67890123456789
7,66778899G,ES,25,2000,1234,5678,78901234567890
8,33445566H,ES,25,2000,1234,5678,89012345678901
9,77889900I,ES,25,2000,1234,5678,90123456789012
10,44556677J,ES,25,2000,1234,5678,01234567890123
