CodReserva, FechaReserva, FechaEntrada, FechaSalida, NumVehiculos, ImporteTotal, DNI, CodEstadoReserva, CodTemporada

1,2024-01-01,2024-01-05,2024-01-10,1,450.00,12345678A,1,1
2,2024-01-02,2024-01-06,2024-01-11,2,520.00,87654321B,2,2
3,2024-01-03,2024-01-07,2024-01-12,1,480.00,11223344C,3,1
4,2024-01-04,2024-01-08,2024-01-13,2,550.00,55667788D,4,2
5,2024-01-05,2024-01-09,2024-01-14,1,420.00,99887766E,5,1
6,2024-01-06,2024-01-10,2024-01-15,2,490.00,22334455F,3,2
7,2024-01-07,2024-01-11,2024-01-16,1,460.00,66778899G,2,1
8,2024-01-08,2024-01-12,2024-01-17,2,530.00,33445566H,3,2
9,2024-01-09,2024-01-13,2024-01-18,1,440.00,77889900I,4,1
10,2024-01-10,2024-01-14,2024-01-19,2,510.00,44556677J,5,2
